group,probability,response,synset,top posts,top prods
late,0.4519095266535704,incorrect,bus.n.01,"[0.55, 0.19, 0.1, 0.07, 0.01]","['bus.n.01', 'car.n.01', 'train.n.01', 'truck.n.01', 'bag.n.04']"
late,0.869608376860863,incorrect,celery.n.02,"[0.13, 0.12, 0.11, 0.11, 0.07]","['celery.n.02', 'bean.n.01', 'apple.n.01', 'carrot.n.03', 'beet.n.02']"
late,0.6515044430943403,incorrect,elk.n.01,"[0.35, 0.14, 0.08, 0.07, 0.04]","['elk.n.01', 'deer.n.01', 'cow.n.01', 'animal.n.01', 'sheep.n.01']"
late,0.6143637721875468,incorrect,fox.n.01,"[0.39, 0.11, 0.07, 0.05, 0.04]","['fox.n.01', 'dog.n.01', 'animal.n.01', 'cat.n.01', 'kitty.n.04']"
late,0.7260671830384388,incorrect,hippopotamus.n.01,"[0.27, 0.24, 0.11, 0.05, 0.03]","['hippopotamus.n.01', 'elephant.n.01', 'animal.n.01', 'hog.n.03', 'giraffe.n.01']"
late,0.7380486123970258,incorrect,motorcycle.n.01,"[0.33, 0.29, 0.26, 0.02, 0.01]","['car.n.01', 'bicycle.n.01', 'motorcycle.n.01', 'truck.n.01', 'wheel.n.01']"
late,0.738303598690514,incorrect,raccoon.n.02,"[0.26, 0.17, 0.05, 0.05, 0.04]","['raccoon.n.02', 'animal.n.01', 'kitty.n.04', 'bear.n.01', 'dog.n.01']"
late,0.9521362735005556,incorrect,rocket.n.01,"[0.2, 0.05, 0.04, 0.04, 0.03]","['ball.n.01', 'rocket.n.01', 'airplane.n.01', 'car.n.01', 'toy.n.03']"
late,0.7137212806705993,incorrect,short_pants.n.01,"[0.29, 0.24, 0.06, 0.02, 0.02]","['short_pants.n.01', 'shirt.n.01', 'trouser.n.01', 'diaper.n.01', 'dress.n.01']"
late,0.5130179978891114,incorrect,strawberry.n.01,"[0.49, 0.1, 0.07, 0.03, 0.03]","['strawberry.n.01', 'apple.n.01', 'fruit.n.01', 'grape.n.01', 'orange.n.01']"
late,0.7900565612925042,incorrect,sweater.n.01,"[0.26, 0.21, 0.06, 0.04, 0.04]","['shirt.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01', 'jacket.n.01']"
late,0.26426115157622576,incorrect,truck.n.01,"[0.74, 0.19, 0.01, 0.01, 0.01]","['truck.n.01', 'car.n.01', 'bus.n.01', 'bicycle.n.01', 'train.n.01']"
late,0.9948594626358876,incorrect,vest.n.01,"[0.35, 0.09, 0.07, 0.05, 0.04]","['shirt.n.01', 'jacket.n.01', 'sweater.n.01', 'coat.n.01', 'hat.n.01']"
