group,probability,response,synset,top posts,top prods
late,0.6300151253849856,correct,truck.n.01,"[0.63, 0.09, 0.03, 0.03, 0.02]","['truck.n.01', 'car.n.01', 'fire_engine.n.01', 'bus.n.01', 'tractor.n.01']"
late,0.32518981009978687,correct,vest.n.01,"[0.33, 0.11, 0.1, 0.09, 0.06]","['vest.n.01', 'sweater.n.01', 'shirt.n.01', 'jacket.n.01', 'jean.n.01']"
late,0.5151552333870856,incorrect,beet.n.02,"[0.48, 0.14, 0.07, 0.05, 0.02]","['beet.n.02', 'carrot.n.03', 'celery.n.02', 'potato.n.01', 'bean.n.01']"
late,0.3079154363619443,incorrect,bus.n.01,"[0.69, 0.08, 0.04, 0.03, 0.01]","['bus.n.01', 'train.n.01', 'car.n.01', 'truck.n.01', 'baby_buggy.n.01']"
late,0.5456706725903014,incorrect,celery.n.02,"[0.45, 0.07, 0.07, 0.06, 0.05]","['celery.n.02', 'carrot.n.03', 'bean.n.01', 'beet.n.02', 'potato.n.01']"
late,0.46096418562239383,incorrect,elk.n.01,"[0.54, 0.24, 0.03, 0.02, 0.02]","['elk.n.01', 'deer.n.01', 'giraffe.n.01', 'sheep.n.01', 'cow.n.01']"
late,0.2968561918808811,incorrect,fox.n.01,"[0.7, 0.02, 0.02, 0.02, 0.02]","['fox.n.01', 'raccoon.n.02', 'wolf.n.01', 'squirrel.n.01', 'dog.n.01']"
late,0.37228555554321685,incorrect,hippopotamus.n.01,"[0.63, 0.1, 0.05, 0.02, 0.02]","['hippopotamus.n.01', 'elephant.n.01', 'giraffe.n.01', 'hog.n.03', 'animal.n.01']"
late,0.5616372847851274,incorrect,motorcycle.n.01,"[0.44, 0.21, 0.08, 0.07, 0.04]","['motorcycle.n.01', 'bicycle.n.01', 'tricycle.n.01', 'car.n.01', 'helicopter.n.01']"
late,0.3194325448705858,incorrect,raccoon.n.02,"[0.68, 0.05, 0.02, 0.02, 0.02]","['raccoon.n.02', 'squirrel.n.01', 'fox.n.01', 'animal.n.01', 'mouse.n.01']"
late,0.2750771355773599,incorrect,rocket.n.01,"[0.72, 0.01, 0.01, 0.01, 0.01]","['rocket.n.01', 'airplane.n.01', 'ball.n.01', 'helicopter.n.01', 'boat.n.01']"
late,0.5916221559409731,incorrect,short_pants.n.01,"[0.41, 0.09, 0.06, 0.05, 0.04]","['short_pants.n.01', 'shirt.n.01', 'jean.n.01', 'underpants.n.01', 'trouser.n.01']"
late,0.43912085232254494,incorrect,strawberry.n.01,"[0.56, 0.08, 0.04, 0.03, 0.03]","['strawberry.n.01', 'fruit.n.01', 'melon.n.01', 'plum.n.02', 'yogurt.n.01']"
late,0.6596407819155887,incorrect,sweater.n.01,"[0.34, 0.11, 0.09, 0.06, 0.06]","['sweater.n.01', 'vest.n.01', 'shirt.n.01', 'scarf.n.01', 'coat.n.01']"
late,0.3699848746150144,incorrect,truck.n.01,"[0.63, 0.09, 0.03, 0.03, 0.02]","['truck.n.01', 'car.n.01', 'fire_engine.n.01', 'bus.n.01', 'tractor.n.01']"
late,0.6748101899002131,incorrect,vest.n.01,"[0.33, 0.11, 0.1, 0.09, 0.06]","['vest.n.01', 'sweater.n.01', 'shirt.n.01', 'jacket.n.01', 'jean.n.01']"
